stock,url,docUrl
IDK,https://thecse.com/en/listings/diversified-industries/threed-capital-inc,https://webfiles.thecse.com/Form_7_-_IDK_August_2021_Monthly_Progress_Report_2021.09.03.pdf?opT95O_kalxt2JSoruu_ppTmNPDitJIO
IDK,https://thecse.com/en/listings/diversified-industries/threed-capital-inc,https://webfiles.thecse.com/2021-08-24_-_Press_Release_IDK_XREX.pdf?WXLzXadACzaUYDuEAG12V3PZpWvJ6_kG
IDK,https://www.thecse.com/en/listings/diversified-industries/threed-capital-inc,https://webfiles.thecse.com/2021-06-21_-_Press_Release_OTCQX_Upgrade.pdf?bK.rfg_DSl1FAhWkf9FBi3CpuM_gjh7E
IDK,https://www.thecse.com/en/listings/diversified-industries/threed-capital-inc,https://webfiles.thecse.com/2021-08-09_-_Press_Release_IDK_July_NAV.pdf?FKqAdU4ta_5DwpLLBFCQJX_Vp.Xuy27.
IDK,https://www.thecse.com/en/listings/diversified-industries/threed-capital-inc,https://webfiles.thecse.com/2021-08-12_-_Press_Release_Florton_Artias_FINAL.pdf?FWsMs9sfG12W0ceMnCH5ov2Mext8mQKn
IDK,https://www.thecse.com/en/listings/diversified-industries/threed-capital-inc,https://webfiles.thecse.com/2021-06-11_-_Press_Release_IDK_May_NAV.pdf?k7e7YP0DJugpOB96f8JnH1XeAJN8tAq_
IDK,https://www.thecse.com/en/listings/diversified-industries/threed-capital-inc,https://webfiles.thecse.com/2021-07-23_PR_-_IDK_early_warning_on_BTC.pdf?jWKVBcntvmx51rJO.UeK29JT2B9OZzwh
IDK,https://thecse.com/en/listings/diversified-industries/threed-capital-inc,https://webfiles.thecse.com/2021-09-08_-_Press_Release_IDK_August_NAV.pdf?8ywwCM0.UB5s6Ep_i0G7yyHBM9wEeSC7
IDK,https://thecse.com/en/listings/diversified-industries/threed-capital-inc,https://webfiles.thecse.com/2021-08-26_-_Press_Release_IDK_PNR.pdf?nSEOwvbYC7vp4Ux_cmsTB2nYACHlNhTU
PKK,https://www.thecse.com/en/listings/technology/peak-fintech-group-inc,https://webfiles.thecse.com/Peak_Fintech_Announces_Consolidation_of_Its_Common_Shares.pdf?PcHnVfUhsEplMJtC_qRm_D.v.X8_Qf.A
PKK,https://www.thecse.com/en/listings/technology/peak-fintech-group-inc,https://webfiles.thecse.com/Peak_Fintech_Continues_Expansion_of_Business_Hub_with_Addition_of_Two_New_Banks_and_New_Office_in_Guangzhou.pdf?dcWC2NW_GzmSFbHOadxyHNESnqSpHkza
PKK,https://thecse.com/en/listings/technology/peak-fintech-group-inc,https://webfiles.thecse.com/Peak_Fintech_Receives_Approval_for_Common_Shares_to_Begin_Trading_on_NASDAQ.pdf?4tHQ6eohOTXbCTc6JXscK1eaRYuv8b8j
PKK,https://thecse.com/en/listings/technology/peak-fintech-group-inc,https://webfiles.thecse.com/Peak_Fintech_Acquires_Heartbeat_Insurance_Platform_and_Brings_Analytics_and_AI_Expertise_to_Insurance_Industry.pdf?gpqNHjx3hYFqd2je1_mhon3.88LA5LIt
PKK,https://www.thecse.com/en/listings/technology/peak-fintech-group-inc,https://webfiles.thecse.com/Peak_Fintech_Acquires_Minority_Stake_in_China_UnionPay_Subsidiary.pdf?74OEkWVfa4eNXmWYdEVU2eIhdPdjfcdc
PKK,https://thecse.com/en/listings/technology/peak-fintech-group-inc,https://webfiles.thecse.com/Peak_Fintech_Q2_Results_Show_First_Quarterly_Profit_on_Revenue_in_Excess_of_30M.pdf?MYe2i7YCVtcYr6Hbxw5t3WnpwTo80rA7
PKK,https://www.thecse.com/en/listings/technology/peak-fintech-group-inc,https://webfiles.thecse.com/Peak_Fintech_Launches_New_Steel_Trading_Platform_as_Part_of_Business_Hub_Ecosystem.pdf?15efEdP35XUXU6Wrk_Qs2MtQ5RM0hISa
PKK,https://thecse.com/en/listings/technology/peak-fintech-group-inc,https://webfiles.thecse.com/Peak_Fintech_Signs_Agreement_to_Acquire_Analytics_and_AI_Company_Cubeler_Inc._Paving_the_Way_for_Its_North_American_Expansion.pdf?dAXRO.zMKMUAoSKHTEmNVSm.LiR1C.LQ
PKK,https://www.thecse.com/en/listings/technology/peak-fintech-group-inc,https://webfiles.thecse.com/Peak_Fintech_Releases_Revenue_and_Earnings_Guidance_Expects_104M_in_Revenue_and_5.6M_in_Earnings_for_2021.pdf?YLxDkFE027ciByDXZM5WIqnSCJBCQd.k
PKK,https://www.thecse.com/en/listings/technology/peak-fintech-group-inc,https://webfiles.thecse.com/Peak_Fintech_Business_Hub_Client_Earns_Exclusive_Distribution_Rights_to_Red_Bull_Energy_Drinks.pdf?PHATwAKrOK0kv4GFtpvFXNa4nTbbbw3R
PKK,https://www.thecse.com/en/listings/technology/peak-fintech-group-inc,https://webfiles.thecse.com/Peak_Fintech_Begins_Acquisition_Process_of_Banking_AI_Software_Provider_Zhongke_with_Transfer_of_IP.pdf?AkCKdxPg3pH5FGnPlg3e8risyK.d_NNd
PKK,https://www.thecse.com/en/listings/technology/peak-fintech-group-inc,https://webfiles.thecse.com/Peak_Completes_Integration_to_China_UnionPay_Network_and_Processes_First_Fund_Transfer_and_Payment_Settlement_Transactions.pdf?pwhsM..Y.Y84qQlQoiU_GDamwC.D9G3j
PKK,https://www.thecse.com/en/listings/technology/peak-fintech-group-inc,https://webfiles.thecse.com/Peak_Fintech_Provides_Update_on_Recent_Warrant_Exercise_Activity.pdf?pY97WvclGW6bkoKr7e867Pb43dWjQR7l
